InvoiceLineID,CustomerCode,TransactionID,Description,Year,Month,Day,PackageTypeID,Quantity,Sales,TotalDryItems,TotalChillerItems
77,908,13079,Furry gorilla with big eyes slippers (Black) XL,2018,1,1,7,1,32,4,0
78,908,13079,Developer joke mug - fun was unexpected at this time (Black),2018,1,1,7,10,130,4,0
79,908,13079,Animal with big feet slippers (Brown) S,2018,1,1,7,4,128,4,0
80,908,13079,Dinosaur battery-powered slippers (Green) L,2018,1,1,7,6,192,4,0
81,995,19402,Developer joke mug - fun was unexpected at this time (Black),2018,1,1,7,10,130,1,0
82,910,15267,IT joke mug - hardware: part of the computer that can be kicked (Black),2018,1,1,7,2,26,1,0
83,545,12781,Developer joke mug - old C developers never die (Black),2018,1,1,7,7,91,3,0
84,545,12781,Developer joke mug - understanding recursion requires understanding recursion (Black),2018,1,1,7,3,39,3,0
85,545,12781,USB food flash drive - dessert 10 drive variety pack,2018,1,1,9,1,240,3,0
86,1000,17334,RC big wheel monster truck with remote control (Black) 1/50 scale,2018,1,1,7,8,360,2,0
87,1000,17334,Dinosaur battery-powered slippers (Green) L,2018,1,1,7,9,288,2,0
88,415,16645,Superhero action jacket (Blue) L,2018,1,1,7,3,90,2,0
89,415,16645,Air cushion film 200mmx200mm 325m,2018,1,1,7,2,180,2,0
90,423,13260,Superhero action jacket (Blue) 3XL,2018,1,2,7,6,204,3,0
91,423,13260,"Developer joke mug - (hip, hip, array) (White)",2018,1,2,7,10,130,3,0
92,423,13260,32 mm Double sided bubble wrap 10m,2018,1,2,7,100,2200,3,0
93,463,16070,"""The Gu"" red shirt XML tag t-shirt (Black) L",2018,1,2,7,24,432,2,0
94,463,16070,Superhero action jacket (Blue) S,2018,1,2,7,2,50,2,0
95,467,14159,Ride on toy sedan car (Yellow) 1/12 scale,2018,1,2,7,10,2300,2,0
96,467,14159,Shipping carton (Brown) 457x279x279mm,2018,1,2,7,200,200,2,0
97,832,12126,32 mm Double sided bubble wrap 50m,2018,1,2,7,50,5600,1,0
98,803,15342,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",2018,1,2,7,72,1296,2,0
99,803,15342,32 mm Anti static bubble wrap (Blue) 10m,2018,1,2,7,90,2880,2,0
100,105,12211,10 mm Anti static bubble wrap (Blue) 50m,2018,1,2,7,50,4950,3,0
101,105,12211,Void fill 400 L bag (White) 400L,2018,1,2,7,80,4000,3,0
102,105,12211,Ride on toy sedan car (Pink) 1/12 scale,2018,1,2,7,9,2070,3,0
103,905,10369,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",2018,1,2,7,72,1296,2,0
104,905,10369,Pack of 12 action figures (male),2018,1,2,9,8,128,2,0
105,575,17913,10 mm Double sided bubble wrap 10m,2018,1,2,7,100,1500,1,0
106,964,14518,Packing knife with metal insert blade (Yellow) 9mm,2018,1,2,7,45,90,1,0
107,77,17577,"""The Gu"" red shirt XML tag t-shirt (Black) XL",2018,1,2,7,24,432,1,0
108,191,18030,Black and orange handle with care despatch tape  48mmx75m,2018,1,2,7,72,288,1,0
109,586,17639,Halloween skull mask (Gray) S,2018,1,2,7,48,864,4,0
110,586,17639,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",2018,1,2,7,84,1512,4,0
111,586,17639,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",2018,1,2,7,24,432,4,0
112,586,17639,20 mm Anti static bubble wrap (Blue) 50m,2018,1,2,7,90,9180,4,0
113,529,10941,Shipping carton (Brown) 356x229x229mm,2018,1,2,7,75,75,1,0
114,473,16374,"""The Gu"" red shirt XML tag t-shirt (Black) L",2018,1,2,7,84,1512,3,0
115,473,16374,Black and yellow heavy despatch tape 48mmx100m,2018,1,2,7,96,384,3,0
116,473,16374,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",2018,1,2,7,84,1512,3,0
117,870,17521,"""The Gu"" red shirt XML tag t-shirt (White) L",2018,1,2,7,84,1512,2,0
118,870,17521,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",2018,1,2,7,96,1728,2,0
119,414,10690,RC vintage American toy coupe with remote control (Red) 1/50 scale,2018,1,2,7,6,180,1,0
120,910,10255,"Developer joke mug - (hip, hip, array) (Black)",2018,1,2,7,10,130,3,0
121,910,10255,IT joke mug - that behavior is by design (White),2018,1,2,7,9,117,3,0
122,910,10255,20 mm Anti static bubble wrap (Blue) 10m,2018,1,2,7,50,1450,3,0
123,949,16825,Black and orange fragile despatch tape 48mmx75m,2018,1,2,7,288,1152,3,0
124,949,16825,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",2018,1,2,7,108,1944,3,0
125,949,16825,10 mm Anti static bubble wrap (Blue) 50m,2018,1,2,7,60,5940,3,0
126,973,12227,10 mm Anti static bubble wrap (Blue) 10m,2018,1,2,7,70,1820,2,0
127,973,12227,Developer joke mug - old C developers never die (White),2018,1,2,7,9,117,2,0
128,884,16793,USB food flash drive - pizza slice,2018,1,2,7,2,64,1,0
129,173,12467,Black and orange glass with care despatch tape  48mmx100m,2018,1,2,7,168,672,1,0
130,189,11503,"""The Gu"" red shirt XML tag t-shirt (Black) S",2018,1,2,7,72,1296,1,0
131,497,17783,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",2018,1,2,7,36,648,1,0
132,484,13042,Black and orange this way up despatch tape  48mmx100m,2018,1,2,7,72,288,4,0
133,484,13042,Red and white urgent  heavy despatch tape  48mmx100m,2018,1,2,7,96,384,4,0
134,484,13042,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",2018,1,2,7,48,864,4,0
135,484,13042,Black and orange this way up despatch tape 48mmx75m,2018,1,2,7,96,384,4,0
136,89,10411,32 mm Double sided bubble wrap 20m,2018,1,2,7,50,1850,1,0
137,148,15084,10 mm Anti static bubble wrap (Blue) 50m,2018,1,2,7,50,4950,1,0
138,972,11389,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",2018,1,2,7,48,864,1,0
139,567,12559,Furry animal socks (Pink) S,2018,1,2,10,120,600,1,0
140,92,19457,Black and orange fragile despatch tape 48mmx75m,2018,1,2,7,144,576,2,0
141,92,19457,IT joke mug - that behavior is by design (Black),2018,1,2,7,3,39,2,0
142,811,18468,Superhero action jacket (Blue) XS,2018,1,2,7,7,175,2,0
143,811,18468,DBA joke mug - daaaaaa-ta (White),2018,1,2,7,7,91,2,0
144,10,14486,Packing knife with metal insert blade (Yellow) 18mm,2018,1,2,7,45,90,2,0
145,10,14486,Black and orange this way up despatch tape 48mmx75m,2018,1,2,7,96,384,2,0
146,431,18036,32 mm Double sided bubble wrap 10m,2018,1,2,7,40,880,2,0
147,431,18036,Furry animal socks (Pink) XL,2018,1,2,10,108,540,2,0
148,908,13079,Shipping carton (Brown) 480x270x320mm,2018,1,2,7,100,300,1,0
149,995,19402,Halloween skull mask (Gray) M,2018,1,2,7,60,1080,1,0
150,910,15267,20 mm Anti static bubble wrap (Blue) 50m,2018,1,2,7,30,3060,2,0
151,910,15267,32 mm Anti static bubble wrap (Blue) 20m,2018,1,2,7,70,3360,2,0
152,545,12781,32 mm Anti static bubble wrap (Blue) 20m,2018,1,2,7,90,4320,2,0
153,545,12781,Halloween skull mask (Gray) L,2018,1,2,7,36,648,2,0
154,1000,17334,10 mm Anti static bubble wrap (Blue) 10m,2018,1,2,7,40,1040,3,0
155,1000,17334,"""The Gu"" red shirt XML tag t-shirt (White) M",2018,1,2,7,12,216,3,0
156,1000,17334,10 mm Anti static bubble wrap (Blue) 20m,2018,1,2,7,90,3780,3,0
157,415,16645,Furry animal socks (Pink) S,2018,1,2,10,84,420,1,0
158,543,17591,Air cushion film 200mmx200mm 325m,2018,1,2,7,10,900,3,0
159,543,17591,Developer joke mug - when your hammer is C++ (White),2018,1,2,7,6,78,3,0
160,543,17591,Dinosaur battery-powered slippers (Green) S,2018,1,2,7,5,160,3,0
161,456,14618,Dinosaur battery-powered slippers (Green) L,2018,1,2,7,8,256,2,0
162,456,14618,Superhero action jacket (Blue) L,2018,1,2,7,4,120,2,0
163,487,19857,Developer joke mug - Oct 31 = Dec 25 (White),2018,1,2,7,9,117,2,0
164,487,19857,Developer joke mug - a foo walks into a bar (White),2018,1,2,7,9,117,2,0
165,154,17849,32 mm Anti static bubble wrap (Blue) 20m,2018,1,2,7,100,4800,4,0
166,154,17849,Halloween skull mask (Gray) L,2018,1,2,7,72,1296,4,0
167,154,17849,DBA joke mug - two types of DBAs (White),2018,1,2,7,2,26,4,0
168,154,17849,Black and orange glass with care despatch tape  48mmx100m,2018,1,2,7,24,96,4,0
169,111,10947,Furry gorilla with big eyes slippers (Black) S,2018,1,2,7,8,256,2,0
170,111,10947,DBA joke mug - it depends (White),2018,1,2,7,4,52,2,0
171,585,11610,DBA joke mug - it depends (Black),2018,1,2,7,9,117,2,0
172,585,11610,Black and yellow heavy despatch tape 48mmx100m,2018,1,2,7,144,576,2,0
173,128,14853,Halloween zombie mask (Light Brown) XL,2018,1,2,7,72,1296,2,0
174,128,14853,RC toy sedan car with remote control (Blue) 1/50 scale,2018,1,2,7,6,150,2,0
175,473,10821,Halloween skull mask (Gray) L,2018,1,2,7,84,1512,2,0
176,473,10821,Plush shark slippers (Gray) S,2018,1,2,7,10,320,2,0
177,58,15491,Permanent marker red 5mm nib (Red) 5mm,2018,1,2,7,36,108,3,0
178,58,15491,DBA joke mug - it depends (Black),2018,1,2,7,9,117,3,0
179,58,15491,Ride on toy sedan car (Yellow) 1/12 scale,2018,1,2,7,4,920,3,0
180,586,14474,Plush shark slippers (Gray) XL,2018,1,2,7,6,192,3,0
181,586,14474,RC toy sedan car with remote control (Black) 1/50 scale,2018,1,2,7,10,250,3,0
182,586,14474,Developer joke mug - that's a hardware problem (Black),2018,1,2,7,10,130,3,0
183,910,10079,"""The Gu"" red shirt XML tag t-shirt (Black) S",2018,1,2,7,60,1080,4,0
184,910,10079,Developer joke mug - old C developers never die (White),2018,1,2,7,4,52,4,0
185,910,10079,Shipping carton (Brown) 305x305x305mm,2018,1,2,7,75,300,4,0
186,910,10079,Plush shark slippers (Gray) L,2018,1,2,7,4,128,4,0
187,82,11612,Dinosaur battery-powered slippers (Green) S,2018,1,2,7,1,32,3,0
188,82,11612,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",2018,1,2,7,108,1944,3,0
189,82,11612,RC toy sedan car with remote control (Pink) 1/50 scale,2018,1,2,7,8,200,3,0
190,3,11991,Developer joke mug - when your hammer is C++ (White),2018,1,2,7,4,52,2,0
191,3,11991,DBA joke mug - two types of DBAs (Black),2018,1,2,7,4,52,2,0
192,857,19321,Developer joke mug - that's a hardware problem (Black),2018,1,2,7,8,104,3,0
193,857,19321,Dinosaur battery-powered slippers (Green) XL,2018,1,2,7,7,224,3,0
194,857,19321,Plush shark slippers (Gray) L,2018,1,2,7,8,256,3,0
195,453,10210,DBA joke mug - it depends (Black),2018,1,2,7,10,130,2,0
196,453,10210,Halloween zombie mask (Light Brown) S,2018,1,2,7,12,216,2,0
197,457,14970,IT joke mug - that behavior is by design (Black),2018,1,2,7,5,65,5,0
198,457,14970,Black and orange fragile despatch tape 48mmx75m,2018,1,2,7,252,1008,5,0
199,457,14970,DBA joke mug - mind if I join you? (White),2018,1,2,7,1,13,5,0
200,457,14970,Superhero action jacket (Blue) 5XL,2018,1,2,7,7,238,5,0
201,457,14970,20 mm Anti static bubble wrap (Blue) 10m,2018,1,2,7,50,1450,5,0
202,107,17468,DBA joke mug - I will get you in order (White),2018,1,2,7,1,13,5,0
203,107,17468,IT joke mug - hardware: part of the computer that can be kicked (Black),2018,1,2,7,6,78,5,0
204,107,17468,DBA joke mug - two types of DBAs (White),2018,1,2,7,8,104,5,0
205,107,17468,Plush shark slippers (Gray) XL,2018,1,2,7,1,32,5,0
206,107,17468,Plush shark slippers (Gray) S,2018,1,2,7,7,224,5,0
207,990,11643,DBA joke mug - daaaaaa-ta (White),2018,1,2,7,10,130,2,0
208,990,11643,IT joke mug - that behavior is by design (Black),2018,1,2,7,4,52,2,0
209,864,16411,Superhero action jacket (Blue) 3XL,2018,1,2,7,5,170,2,0
210,864,16411,Developer joke mug - this code was generated by a tool (White),2018,1,2,7,10,130,2,0
211,172,19525,Developer joke mug - inheritance is the OO way to become wealthy (White),2018,1,2,7,7,91,3,0
212,172,19525,Developer joke mug - understanding recursion requires understanding recursion (White),2018,1,2,7,4,52,3,0
213,172,19525,Developer joke mug - this code was generated by a tool (Black),2018,1,2,7,10,130,3,0
214,473,10996,Developer joke mug - this code was generated by a tool (White),2018,1,2,7,6,78,1,0
215,592,15832,Animal with big feet slippers (Brown) L,2018,1,2,7,9,288,2,0
216,592,15832,Air cushion film 200mmx100mm 325m,2018,1,2,7,5,435,2,0
217,92,12134,DBA joke mug - two types of DBAs (Black),2018,1,2,7,4,52,3,0
218,92,12134,Permanent marker black 5mm nib (Black) 5mm,2018,1,2,7,24,72,3,0
219,92,12134,USB missile launcher (Green),2018,1,2,7,10,250,3,0
220,979,14902,Plush shark slippers (Gray) S,2018,1,2,7,5,160,4,0
221,979,14902,Superhero action jacket (Blue) L,2018,1,2,7,3,90,4,0
222,979,14902,USB food flash drive - banana,2018,1,2,7,3,96,4,0
223,979,14902,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",2018,1,2,7,48,864,4,0
224,826,15212,Furry gorilla with big eyes slippers (Black) XL,2018,1,2,7,1,32,3,0
225,826,15212,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",2018,1,2,7,108,1944,3,0
226,826,15212,Developer joke mug - old C developers never die (Black),2018,1,2,7,1,13,3,0
227,943,19609,Permanent marker black 5mm nib (Black) 5mm,2018,1,2,7,72,216,3,0
228,943,19609,USB food flash drive - banana,2018,1,2,7,8,256,3,0
229,943,19609,USB food flash drive - dessert 10 drive variety pack,2018,1,2,9,4,960,3,0
230,140,19809,Black and orange glass with care despatch tape 48mmx75m,2018,1,2,7,24,96,2,0
231,140,19809,DBA joke mug - two types of DBAs (White),2018,1,2,7,7,91,2,0
232,68,13551,Permanent marker blue 5mm nib (Blue) 5mm,2018,1,2,7,48,144,4,0
233,68,13551,Permanent marker black 5mm nib (Black) 5mm,2018,1,2,7,72,216,4,0
234,68,13551,Animal with big feet slippers (Brown) S,2018,1,2,7,8,256,4,0
235,68,13551,USB rocket launcher (Gray),2018,1,2,7,4,100,4,0
236,28,12805,Animal with big feet slippers (Brown) XL,2018,1,2,7,1,32,2,0
237,28,12805,10 mm Anti static bubble wrap (Blue) 20m,2018,1,2,7,60,2520,2,0
238,939,18797,Developer joke mug - Oct 31 = Dec 25 (White),2018,1,2,7,9,117,2,0
239,939,18797,Developer joke mug - inheritance is the OO way to become wealthy (White),2018,1,2,7,6,78,2,0
240,127,11553,IT joke mug - that behavior is by design (Black),2018,1,2,7,5,65,4,0
241,127,11553,Ride on toy sedan car (Green) 1/12 scale,2018,1,2,7,1,230,4,0
242,127,11553,20 mm Anti static bubble wrap (Blue) 10m,2018,1,2,7,30,870,4,0
243,127,11553,Alien officer hoodie (Black) XXL,2018,1,2,7,2,70,4,0
244,844,11156,RC vintage American toy coupe with remote control (Black) 1/50 scale,2018,1,2,7,4,120,2,0
245,844,11156,Developer joke mug - inheritance is the OO way to become wealthy (White),2018,1,2,7,1,13,2,0
246,551,18583,RC vintage American toy coupe with remote control (Black) 1/50 scale,2018,1,2,7,3,90,1,0
247,122,19122,Ride on toy sedan car (Blue) 1/12 scale,2018,1,2,7,1,230,4,0
248,122,19122,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",2018,1,2,7,12,216,4,0
249,122,19122,Dinosaur battery-powered slippers (Green) L,2018,1,2,7,2,64,4,0
250,122,19122,DBA joke mug - mind if I join you? (White),2018,1,2,7,9,117,4,0
251,866,11615,Permanent marker red 5mm nib (Red) 5mm,2018,1,2,7,36,108,2,0
252,866,11615,Developer joke mug - Oct 31 = Dec 25 (White),2018,1,2,7,9,117,2,0
253,812,12262,DBA joke mug - SELECT caffeine FROM mug (White),2018,1,2,7,2,26,4,0
254,812,12262,Developer joke mug - this code was generated by a tool (Black),2018,1,2,7,4,52,4,0
255,812,12262,Developer joke mug - old C developers never die (White),2018,1,2,7,8,104,4,0
256,812,12262,IT joke mug - keyboard not found … press F1 to continue (Black),2018,1,2,7,9,117,4,0
257,828,10310,10 mm Anti static bubble wrap (Blue) 50m,2018,1,2,7,70,6930,3,0
258,828,10310,"Developer joke mug - (hip, hip, array) (Black)",2018,1,2,7,7,91,3,0
259,828,10310,"""The Gu"" red shirt XML tag t-shirt (Black) XL",2018,1,2,7,108,1944,3,0
260,34,19254,USB food flash drive - donut,2018,1,2,7,5,160,3,0
261,34,19254,Air cushion film 200mmx200mm 325m,2018,1,2,7,4,360,3,0
262,34,19254,"""The Gu"" red shirt XML tag t-shirt (White) M",2018,1,2,7,84,1512,3,0
263,841,13954,RC toy sedan car with remote control (Black) 1/50 scale,2018,1,2,7,4,100,2,0
264,841,13954,Developer joke mug - there are 10 types of people in the world (Black),2018,1,2,7,7,91,2,0
265,841,13960,Superhero action jacket (Blue) M,2018,1,2,7,10,300,4,0
266,841,13960,DBA joke mug - it depends (White),2018,1,2,7,6,78,4,0
267,841,13960,USB rocket launcher (Gray),2018,1,2,7,9,225,4,0
268,841,13960,Superhero action jacket (Blue) 4XL,2018,1,2,7,4,136,4,0
269,92,14630,"Developer joke mug - (hip, hip, array) (Black)",2018,1,2,7,5,65,2,0
270,92,14630,Medium sized bubblewrap roll 20m,2018,1,2,7,20,400,2,0
271,44,18585,Developer joke mug - understanding recursion requires understanding recursion (Black),2018,1,2,7,6,78,3,0
272,44,18585,Furry gorilla with big eyes slippers (Black) XL,2018,1,2,7,10,320,3,0
273,44,18585,USB food flash drive - dessert 10 drive variety pack,2018,1,2,9,5,1200,3,0
274,408,18834,USB food flash drive - donut,2018,1,2,7,1,32,4,0
275,408,18834,Superhero action jacket (Blue) 3XS,2018,1,2,7,7,175,4,0
276,408,18834,Pack of 12 action figures (male),2018,1,2,9,3,48,4,0
277,408,18834,Developer joke mug - that's a hardware problem (White),2018,1,2,7,7,91,4,0
278,913,18451,Developer joke mug - old C developers never die (Black),2018,1,2,7,9,117,4,0
279,913,18451,IT joke mug - keyboard not found … press F1 to continue (White),2018,1,2,7,10,130,4,0
280,913,18451,"""The Gu"" red shirt XML tag t-shirt (White) L",2018,1,2,7,84,1512,4,0
281,913,18451,Animal with big feet slippers (Brown) L,2018,1,2,7,8,256,4,0
282,181,19842,Superhero action jacket (Blue) 3XS,2018,1,2,7,4,100,4,0
283,181,19842,Furry animal socks (Pink) XL,2018,1,2,10,84,420,4,0
284,181,19842,IT joke mug - keyboard not found … press F1 to continue (Black),2018,1,2,7,7,91,4,0
285,181,19842,Pack of 12 action figures (female),2018,1,2,9,4,64,4,0
286,443,18893,USB food flash drive - hamburger,2018,1,2,7,10,320,4,0
287,443,18893,Halloween skull mask (Gray) XL,2018,1,2,7,120,2160,4,0
288,443,18893,Permanent marker black 5mm nib (Black) 5mm,2018,1,2,7,96,288,4,0
289,443,18893,Pack of 12 action figures (female),2018,1,2,9,7,112,4,0
290,889,13004,10 mm Double sided bubble wrap 50m,2018,1,2,7,90,9450,5,0
291,889,13004,Black and orange fragile despatch tape 48mmx75m,2018,1,2,7,108,432,5,0
292,889,13004,Developer joke mug - understanding recursion requires understanding recursion (Black),2018,1,2,7,10,130,5,0
293,889,13004,Animal with big feet slippers (Brown) XL,2018,1,2,7,7,224,5,0
294,889,13004,RC toy sedan car with remote control (Red) 1/50 scale,2018,1,2,7,5,125,5,0
295,49,19890,Alien officer hoodie (Black) XXL,2018,1,2,7,6,210,2,0
296,49,19890,RC toy sedan car with remote control (Green) 1/50 scale,2018,1,2,7,1,25,2,0
297,569,11610,Large  replacement blades 18mm,2018,1,3,7,80,320,2,0
298,569,11610,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",2018,1,3,7,72,1296,2,0
299,122,16474,Black and orange handle with care despatch tape  48mmx100m,2018,1,3,7,216,864,3,0
300,122,16474,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",2018,1,3,7,60,1080,3,0
301,122,16474,Dinosaur battery-powered slippers (Green) S,2018,1,3,7,10,320,3,0
302,86,13630,DBA joke mug - two types of DBAs (Black),2018,1,3,7,9,117,2,0
303,86,13630,Office cube periscope (Black),2018,1,3,7,80,1520,2,0
304,543,17591,Alien officer hoodie (Black) 4XL,2018,1,3,7,10,350,2,0
305,543,17591,Tape dispenser (Blue),2018,1,3,7,60,1920,2,0
306,456,14618,Shipping carton (Brown) 457x457x457mm,2018,1,3,7,250,500,1,0
307,128,14853,Black and yellow heavy despatch tape  48mmx75m,2018,1,3,7,48,192,1,0
308,586,14474,Clear packaging tape 48mmx75m,2018,1,3,7,234,702,1,0
309,857,19321,20 mm Double sided bubble wrap 20m,2018,1,3,7,40,1320,2,0
310,857,19321,"""The Gu"" red shirt XML tag t-shirt (Black) 3XL",2018,1,3,7,120,2160,2,0
